Grade,Subject,Chapter No.,Chapter,Part No.,Content_Title,Duration,youtube_link
Class 6,हिन्दी (वसंत - 1),4,चाँद से थोड़ी-सी गप्पें,3,भाषा की बात,1336,www.youtube.com/embed/WzgGWOrr84s
Class 6,हिन्दी (वसंत - 1),5,अक्षरों का महत्व,1,निबंध,1232,www.youtube.com/embed/yi4qt9biSwc
Class 6,हिन्दी (वसंत - 1),5,अक्षरों का महत्व,2,अभ्यास प्रश्न,806,www.youtube.com/embed/0QQgtVzyDqk
Class 6,हिन्दी (वसंत - 1),5,अक्षरों का महत्व,3,भाषा की बात,808,www.youtube.com/embed/ZjBTKEAgVI4
Class 6,हिन्दी (वसंत - 1),6,पार नज़र के,1,कहानी,1165,www.youtube.com/embed/sml1KS96Zy8
Class 6,हिन्दी (वसंत - 1),6,पार नज़र के,2,कहानी,1016,www.youtube.com/embed/pLB8yFMNFiI
Class 6,हिन्दी (वसंत - 1),6,पार नज़र के,3,अभ्यास प्रश्न,388,www.youtube.com/embed/9bpme77keVE
Class 6,हिन्दी (वसंत - 1),6,पार नज़र के,4,भाषा की बात,521,www.youtube.com/embed/hlCMjI5tFJY
Class 6,हिन्दी (वसंत - 1),7,साथी हाथ बढ़ाना,1,गीत,462,www.youtube.com/embed/s5X0dSU3AX4
Class 6,हिन्दी (वसंत - 1),7,साथी हाथ बढ़ाना,2,अभ्यास प्रश्न,580,www.youtube.com/embed/zBsM2X9cFxw
Class 6,हिन्दी (वसंत - 1),7,साथी हाथ बढ़ाना,3,भाषा की बात,270,www.youtube.com/embed/rj_v5KWRBJ4
Class 6,हिन्दी (वसंत - 1),7,साथी हाथ बढ़ाना,4,निजवाचक सर्वनाम,536,www.youtube.com/embed/ddr4hTMN6ek
Class 6,हिन्दी (वसंत - 1),7,साथी हाथ बढ़ाना,5,कुछ करने को,235,www.youtube.com/embed/LoWreUBT1BQ
Class 6,हिन्दी (वसंत - 1),7,साथी हाथ बढ़ाना,6,कहावतों की दुनिया,601,www.youtube.com/embed/LG9VmmX4azs
Class 6,संस्कृत,12,दशमः त्वम असि,1,सामान्य परिचय:,1112,www.youtube.com/embed/kEx8AfKCLJM
Class 6,संस्कृत,12,दशमः त्वम असि,2,प्रथमगद्यांश: द्वितीयगद्यांश: च,901,www.youtube.com/embed/Ax0hG67NeeQ
Class 6,संस्कृत,12,दशमः त्वम असि,3,तृतीयगद्यांश: चतुर्थगद्यांश: च,639,www.youtube.com/embed/JL-nP2eQbcA
Class 6,गणित,3,संख्याओं के साथ खेलना,22,सम्पूर्ण संख्या व उदाहरण ( 1 से 3 ),1415,www.youtube.com/embed/9JIqwzEyUNU
Class 6,गणित,3,संख्याओं के साथ खेलना,28,महत्तम समापवर्तक,794,www.youtube.com/embed/5Ve_l5u7JD8
Class 6,गणित,3,संख्याओं के साथ खेलना,30,प्रश्नावली 3.6 ( प्रश्न संख्या 1 f से 1 j ),976,www.youtube.com/embed/fpIClD7wGW0
Class 6,गणित,3,संख्याओं के साथ खेलना,24,"प्रश्नावली 3.5 ( प्रश्न संख्या 4,5 व 6 )",901,www.youtube.com/embed/c5T2dhJhE9o
